timestamp,src_ip,dst_ip,protocol,length,anomaly_score,is_anomaly
2025-08-23T20:39:32.764430,192.168.178.39,224.0.0.251,17,87,0.3884532100739588,False
2025-08-23T20:39:34.414601,192.168.178.39,224.0.0.251,17,387,0.26054444780361125,False
2025-08-23T20:39:34.416166,192.168.178.39,224.0.0.251,17,86,0.39040812896583005,False
2025-08-23T20:39:34.669285,192.168.178.39,224.0.0.251,17,86,0.39040812896583005,False
2025-08-23T20:39:34.843641,192.168.178.39,239.255.255.250,17,167,0.28284254121837943,False
2025-08-23T20:39:34.936872,192.168.178.39,224.0.0.251,17,86,0.39040812896583005,False
2025-08-23T20:39:35.193752,192.168.178.39,224.0.0.251,17,445,0.26009028118379607,False
2025-08-23T20:39:35.197242,192.168.178.39,224.0.0.251,17,388,0.26035430084521716,False
2025-08-23T20:39:35.417153,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:39:47.750387,192.168.178.39,192.168.178.255,17,86,0.39040812896583005,False
2025-08-23T20:39:55.433092,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:39:56.723413,192.168.178.165,192.168.178.17,17,337,0.2517233952359267,False
2025-08-23T20:40:15.475205,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:40:17.751441,192.168.178.39,192.168.178.255,17,86,0.39040812896583005,False
2025-08-23T20:40:33.931425,192.168.178.39,239.255.255.250,17,212,0.24953110728349448,False
2025-08-23T20:40:34.936485,192.168.178.39,239.255.255.250,17,212,0.24953110728349448,False
2025-08-23T20:40:35.466113,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:40:35.938538,192.168.178.39,239.255.255.250,17,212,0.24953110728349448,False
2025-08-23T20:40:36.938005,192.168.178.39,239.255.255.250,17,212,0.24953110728349448,False
2025-08-23T20:40:47.756608,192.168.178.39,192.168.178.255,17,86,0.39040812896583005,False
2025-08-23T20:40:55.495010,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:41:15.624787,192.168.178.17,224.0.0.251,17,103,0.3494968909255882,False
2025-08-23T20:41:17.756829,192.168.178.39,192.168.178.255,17,86,0.39040812896583005,False
2025-08-23T20:41:32.775751,192.168.178.39,224.0.0.251,17,87,0.3884532100739588,False
2025-08-23T20:41:34.850012,192.168.178.39,239.255.255.250,17,167,0.28284254121837943,False
2025-08-23T20:41:35.209047,192.168.178.39,224.0.0.251,17,387,0.26054444780361125,False
2025-08-23T20:41:35.212449,192.168.178.39,224.0.0.251,17,86,0.39040812896583005,False
